GWAS	gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status	bonferroni
AJHG2018-TBBMD	ENSG00000177374.12	HIC1	9.64527415178386e-07	7	3	3.19999811962984e-08	Whole_Blood	0.176199997172024	Brain_Cerebellar_Hemisphere	4.23101758138287	1.35162039750833e-16	0.6340757112631	-5.53012657165527	5.53012657165527	1.53450700435954	4.33387098276155	3	0	0.03768
GEFOS_2015_FNBMD	ENSG00000110693.17	SOX6	7.7269352646804e-09	44	6	0.000814183172926512	Stomach	0.877352576432419	Brain_Hippocampus	22.7885618421763	7.14280901862093e-16	0.882974794788836	-3.3479274673674	2.93869590725722	-0.245774013911496	2.29945330117556	6	0	0.0003019
GEFOS_2015_LSBMD	ENSG00000197757.7	HOXC6	5.16812265200102e-10	14	4	3.23000086663054e-11	Artery_Aorta	0.360370474637459	Esophagus_Gastroesophageal_Junction	8.3212404479961	3.0167704146206e-17	0.451104104230897	-6.58826351165771	6.63568449020386	0.597009655075156	4.98581830275679	4	0	2.019e-05
GEFOS_2015_LSBMD	ENSG00000172789.3	HOXC5	3.73326949738944e-09	24	5	2.26000116892849e-10	Muscle_Skeletal	0.701884007438096	Nerve_Tibial	17.7850800533248	2.02024065951187e-17	0.743274836768232	-6.34254503250122	4.2686879307975	-0.770912410222751	3.00708638301865	5	0	0.0001459
GEFOS_2015_LSBMD	ENSG00000037965.5	HOXC8	8.94404600327116e-09	16	4	2.44999810031251e-11	Cells_Cultured_fibroblasts	0.964834000894821	Ovary	10.4780141897156	1.38158730953114e-18	0.838577072260306	-6.67633008956909	3.66021871566772	0.856522438197583	2.67605676150304	4	0	0.0003494
GEFOS_2015_LSBMD	ENSG00000180818.4	HOXC10	1.56309731810977e-08	11	4	2.26000116892843e-10	Skin_Not_Sun_Exposed_Suprapubic	0.811745307046485	Adipose_Visceral_Omentum	8.01021575195263	1.52941224664699e-21	0.655352911740856	-6.34254503250122	0.394319713115692	-0.933572178075057	1.99032116348119	4	0	0.0006107
GEFOS_2015_LSBMD	ENSG00000198353.7	HOXC4	3.22679421105765e-08	29	3	1.19565489512694e-09	Brain_Frontal_Cortex_BA9	0.874257994414007	Ovary	19.1432418214348	4.63373637746826e-16	3.10911989999533	-6.0808253288269	6.08082532882691	-0.782357783471966	3.05245889255535	3	0	0.001261
GEFOS_2015_LSBMD	ENSG00000091831.22	ESR1	4.07234389156264e-07	20	6	8.60000336974886e-05	Kidney_Cortex	0.941929997185194	Brain_Cerebellar_Hemisphere	12.6796309739615	1.41173277138101e-17	0.555920588173553	-3.24246621131897	3.92703342437744	-0.0711903780698775	1.5279698094818	6	0	0.01591
NG2018-eBMD	ENSG00000091831.22	ESR1	1.73736957355996e-292	20	6	2.20004924067783e-176	Artery_Coronary	0.680000000640971	Testis	12.6796309739615	1.41173277138101e-17	0.555920588173553	-28.3159332275391	19.3536243438721	0.653399249911309	10.3851537690402	6	0	6.788e-288
NG2018-eBMD	ENSG00000124813.20	RUNX2	1.27566674887391e-159	21	6	7.50011903530458e-134	Esophagus_Gastroesophageal_Junction	0.00100000036609286	Heart_Atrial_Appendage	13.2567674196332	8.28914998255821e-18	0.508021051318126	-24.6211471557617	4.09619283676148	-5.23010638510893	6.96292475994745	6	0	4.984e-155
NG2018-eBMD	ENSG00000163064.6	EN1	9.93890868131949e-153	15	5	2.80195303520616e-117	Brain_Cerebellar_Hemisphere	0.812311585220893	Brain_Cerebellum	8.71715398894423	2.2774538940921e-18	0.627961435759864	-16.935079979522	23.0220770694234	1.96782964814154	10.2442711178616	5	0	3.883e-148
NG2018-eBMD	ENSG00000131668.13	BARX1	1.62924073452163e-71	15	4	3.09489354588718e-69	Colon_Transverse	0.0400000062534686	Brain_Nucleus_accumbens_basal_ganglia	11.5561835387134	5.83466121971088e-17	0.513961457843753	-17.5870665799574	6.6988959312439	-8.8251439311013	6.2813552132048	4	0	6.365e-67
NG2018-eBMD	ENSG00000171056.7	SOX7	1.76435875364934e-71	27	7	2.69998174640152e-46	Brain_Frontal_Cortex_BA9	0.969999999547715	Breast_Mammary_Tissue	13.0920415435954	8.82988227985628e-16	0.813242079788726	-14.2853631973267	13.1208848953247	-3.24564479266304	8.79624680542179	7	0	6.893e-67
NG2018-eBMD	ENSG00000067955.13	CBFB	1.05779306681707e-63	49	2	1.49999494719945e-44	Artery_Tibial	0.713457565993076	Adipose_Subcutaneous	44.7554287301363	4.20922049860718e-15	3.81196654771375	-6.25290966033936	14.0027284622192	12.1752901486611	5.1037778726585	2	0	4.133e-59
NG2018-eBMD	ENSG00000106511.5	MEOX2	5.3591732568545e-63	43	6	5.48907717477705e-57	Brain_Hippocampus	0.239999981104839	Adipose_Subcutaneous	25.1939330860479	2.46602662653707e-15	0.929311844314488	-15.9089912677224	15.8928709030151	-2.73078387044869	6.90077531724554	6	0	2.094e-58
NG2018-eBMD	ENSG00000006377.10	DLX6	1.65062630541194e-53	26	5	2.40000241438599e-32	Breast_Mammary_Tissue	0.335393599537734	Skin_Sun_Exposed_Lower_leg	17.3645127125544	1.5229296526809e-15	0.731022200584076	-7.98545932769775	11.8408527374268	0.711785651481291	5.44546375965211	5	0	6.449e-49
NG2018-eBMD	ENSG00000148737.16	TCF7L2	5.46077154760331e-49	15	8	9.60003030456414e-40	Cells_Cultured_fibroblasts	0.82716084693394	Esophagus_Mucosa	8.75172922446982	3.3860910965932e-17	0.346848142915053	-13.1932163238525	6.84970951080322	1.74060381835582	6.21667323530641	8	0	2.133e-44
NG2018-eBMD	ENSG00000253293.4	HOXA10	8.87819425716459e-49	10	6	3.90000805728262e-30	Adrenal_Gland	0.13000000626664	Colon_Sigmoid	5.65537696789332	5.24164808055681e-17	0.19415759929419	-11.4060592651367	5.36596982641818	-2.09458023766551	5.40353959440955	6	0	3.469e-44
NG2018-eBMD	ENSG00000177374.12	HIC1	2.40869521581437e-43	7	3	5.84849972132472e-33	Testis	8.20000885077453e-14	Cells_Cultured_fibroblasts	4.23101758138287	1.35162039750833e-16	0.6340757112631	-10.7054147720337	11.958678854186	6.44851918059853	7.78787417101977	3	0	9.41e-39
NG2018-eBMD	ENSG00000173039.18	RELA	2.46656577609852e-43	34	5	1.40000593106298e-30	Brain_Amygdala	0.910000000601017	Brain_Cortex	23.8517939676022	5.69122622276772e-16	1.06323236718648	-3.30013990402222	11.4948644638062	-1.22070144601825	4.15425581806574	5	0	9.636e-39
NG2018-eBMD	ENSG00000166949.15	SMAD3	4.35745805698534e-42	47	9	3.77837464400964e-19	Testis	0.925523912012258	Pituitary	21.2789875527002	1.80741649081343e-15	0.79951813985271	-7.65062808990479	8.94326523627824	-0.933401794341317	4.63689034917111	9	0	1.702e-37
NG2018-eBMD	ENSG00000110693.17	SOX6	2.71161399660516e-41	44	6	3.19999300695925e-34	Adipose_Subcutaneous	0.951319176074027	Kidney_Cortex	22.7885618421763	7.14280901862093e-16	0.882974794788836	-12.1976308822632	2.98648258868153	-3.26432598433834	6.43139127363909	6	0	1.059e-36
NG2018-eBMD	ENSG00000172818.9	OVOL1	2.64479983527289e-40	40	6	4.30875501504231e-30	Brain_Cortex	0.969999999547715	Adipose_Visceral_Omentum	14.6211963649766	5.76672465866189e-16	0.717189478726366	-10.2224585097808	11.3973833180254	3.95676155517431	6.46435090143453	6	0	1.033e-35
NG2018-eBMD	ENSG00000157554.18	ERG	1.60658684897687e-36	23	7	1.19999781200777e-41	Esophagus_Mucosa	0.840000000398616	Brain_Putamen_basal_ganglia	14.9939924063802	5.40027810776225e-19	0.846168578966274	-13.5194931030273	6.57093572616577	-1.50073459485303	7.14213568835691	7	0	6.277e-32
NG2018-eBMD	ENSG00000104447.12	TRPS1	1.70640670300572e-36	31	4	4.49999056221016e-27	Ovary	0.0400000062534686	Adipose_Visceral_Omentum	25.0644860319103	7.62687711544991e-16	0.994791891627387	-10.7753639221191	7.6152936705698	0.484802893681992	3.92260948732879	4	0	6.667e-32
NG2018-eBMD	ENSG00000105880.4	DLX5	2.08825646265027e-36	37	5	5.01278436382916e-28	Breast_Mammary_Tissue	0.42389373565785	Stomach	27.369824025367	2.53912944598197e-15	0.974738020530284	-6.13548465697088	10.9754998467968	-1.86934576111291	3.86815385450899	5	0	8.158e-32
NG2018-eBMD	ENSG00000123095.5	BHLHE41	8.48097238952328e-36	27	6	2.5999910676132e-39	Liver	0.770963675231543	Muscle_Skeletal	19.250693969964	1.5168967191931e-15	0.781369996666569	-3.29052662849426	13.1179122924805	-0.378214419570269	4.45325002795115	6	0	3.313e-31
NG2018-eBMD	ENSG00000136574.17	GATA4	7.57913963560422e-34	3	3	3.60001473239039e-34	Heart_Left_Ventricle	0.0150000021224948	Pancreas	1.11047093870175	0.892004039819016	0.892004039819016	-3.427889585495	12.1880340576172	3.73084115982056	7.88852145702519	3	0	2.961e-29
NG2018-eBMD	ENSG00000078399.17	HOXA9	1.21588546125228e-33	22	5	2.49999909312741e-22	Breast_Mammary_Tissue	0.917902406280166	Artery_Coronary	14.4160580996877	1.25912973788478e-18	0.973525490538186	-6.66761159896851	9.71909236907959	3.33936905524591	3.53222728513927	5	0	4.75e-29
NG2018-eBMD	ENSG00000092607.13	TBX15	1.27271296324892e-33	34	4	1.26939696949518e-27	Breast_Mammary_Tissue	0.673274233516314	Adrenal_Gland	21.0301010320155	7.48622339213338e-16	0.754559442508065	-6.86887047994272	10.8912118973158	1.77035271455813	5.75808418521655	4	0	4.972e-29
NG2018-eBMD	ENSG00000100219.16	XBP1	1.68649273647598e-33	49	4	3.36185964186323e-31	Muscle_Skeletal	0.190077165341599	Esophagus_Mucosa	25.4027500412627	5.84960491610215e-16	3.43959313013101	-3.59126774894786	11.6174068350791	7.71865855435877	3.65488126614251	4	0	6.589e-29
NG2018-eBMD	ENSG00000176692.5	FOXC2	1.67043394016309e-29	15	15	1.7000036021851e-21	Cells_Cultured_fibroblasts	0.680000000640971	Breast_Mammary_Tissue	3.22419823932455	0.110352146128824	0.110352146128824	-2.90266680717468	9.52192497253418	1.6203329952465	2.71196126213542	15	0	6.526e-25
NG2018-eBMD	ENSG00000025434.18	NR1H3	1.02889569013833e-28	49	4	3.9336250615013e-32	Prostate	0.833345399444086	Esophagus_Mucosa	33.7145067665323	7.27661191750755e-16	2.00685007319902	-11.2530131363254	11.7993447444571	7.41015622256612	5.45613046138117	4	0	4.02e-24
NG2018-eBMD	ENSG00000116809.11	ZBTB17	3.9734035783297e-28	23	3	2.99999651920312e-30	Breast_Mammary_Tissue	0.100214290435047	Artery_Tibial	18.6127212347507	3.98748364458324e-18	1.05297992897212	-11.4288663864136	4.8112359046936	-3.65817760510372	3.98022635042434	3	0	1.552e-23
NG2018-eBMD	ENSG00000106004.4	HOXA5	3.93830826365844e-27	36	7	2.31037216782149e-21	Vagina	0.972362772098094	Artery_Aorta	14.7382295193676	7.39388745973726e-16	0.687517506679825	-8.40565728856397	9.4899986691332	0.993338679558828	5.53630031392223	7	0	1.539e-22
NG2018-eBMD	ENSG00000105997.22	HOXA3	7.83224764116615e-26	32	6	4.70000328755501e-24	Adrenal_Gland	0.833007768131922	Lung	15.9299589635736	3.97279855434186e-16	0.646077428536148	-10.1158332824707	10.1158332824707	-4.64146125900988	4.60481283508193	6	0	3.06e-21
NG2018-eBMD	ENSG00000125740.13	FOSB	3.11134604219796e-25	32	2	3.10000377840549e-25	Brain_Amygdala	0.00300100594282651	Artery_Aorta	29.0704129936478	9.08522738421421e-16	1.96309723457364	2.96763486673139	10.3786897659302	9.72438243621641	2.06905650912108	2	0	1.216e-20
NG2018-eBMD	ENSG00000102908.20	NFAT5	2.71408282774942e-23	35	9	3.19439885613069e-10	Brain_Cortex	1	Artery_Tibial	14.8959204258025	9.07600160049938e-16	0.777303356246892	-6.28903770446777	5.25255966186523	0.596638603044519	3.68464631579655	9	0	1.06e-18
NG2018-eBMD	ENSG00000205250.8	E2F4	3.06508320528798e-23	49	3	1.47587023119988e-17	Lung	0.271336136977644	Brain_Cerebellum	38.8984150064613	1.4011794317864e-15	1.56113572969622	-2.21151781082153	8.52902442836895	5.13862887038906	2.06105396873967	3	0	1.197e-18
NG2018-eBMD	ENSG00000106006.6	HOXA6	1.77020114592958e-22	28	6	5.75975059589769e-17	Muscle_Skeletal	0.257107038667122	Esophagus_Mucosa	13.7137594989426	3.18426043738352e-16	0.460320773221867	-6.15082805737331	8.3700423988311	-2.17282584693043	2.71434898913391	6	0	6.916e-18
NG2018-eBMD	ENSG00000129194.7	SOX15	1.77084543510612e-22	25	4	5.20000505821435e-11	Brain_Hypothalamus	0.429999993801473	Brain_Anterior_cingulate_cortex_BA24	12.9080165742875	5.16347183738516e-19	0.476437788371391	-2.54269886016846	6.56509399414062	2.5150699435257	2.30366161878987	4	0	6.918e-18
NG2018-eBMD	ENSG00000037965.5	HOXC8	1.97513114003338e-21	16	4	4.40000917240436e-16	Adipose_Subcutaneous	0.0479999948239664	Cells_Cultured_fibroblasts	10.4780141897156	1.38158730953114e-18	0.838577072260306	-7.5859808921814	8.12701225280762	-2.13749845139702	5.31319356182197	4	0	7.716e-17
NG2018-eBMD	ENSG00000122592.7	HOXA7	1.96967824171286e-19	28	5	2.16931616420805e-16	Esophagus_Mucosa	0.739999989804993	Thyroid	19.0874158163937	3.3371274464113e-16	0.813893577604698	-3.29052662849426	8.21233302113458	0.210899349746577	2.95100721998818	5	0	7.695e-15
NG2018-eBMD	ENSG00000184302.6	SIX6	2.71803735340168e-19	2	2	8.50002309549683e-17	Muscle_Skeletal	0.00319999952617063	Testis	1.12568413158297	0.874315868417032	0.874315868417032	-8.32406044006347	-2.94784259796143	-5.63595151901245	3.80156009328647	2	0	1.062e-14
NG2018-eBMD	ENSG00000113658.16	SMAD5	5.06375931143207e-19	48	4	7.69996927371598e-22	Artery_Tibial	0.879999994721675	Liver	34.3994342112859	9.95736242453586e-16	1.51832934720169	-9.60386753082276	6.14492750167847	-3.96888296790281	4.40283221060342	4	0	1.978e-14
NG2018-eBMD	ENSG00000008441.16	NFIX	5.4066107460318e-19	48	4	3.02186270779023e-15	Skin_Not_Sun_Exposed_Suprapubic	0.961692173752074	Breast_Mammary_Tissue	37.3667996850799	1.57852410742719e-15	2.14472065286182	-7.8900001096466	7.78448104858399	2.11340723856053	6.66776020403403	4	0	2.112e-14
NG2018-eBMD	ENSG00000137947.11	GTF2B	5.9281123307603e-19	17	4	2.49999279613303e-17	Prostate	0.929999997387962	Nerve_Tibial	9.31630373407333	3.92776208133452e-18	0.953512718556452	-8.28136539459229	8.46783351898193	3.74041974676006	5.09898929133924	4	0	2.316e-14
NG2018-eBMD	ENSG00000084093.16	REST	1.36794108581878e-18	41	4	4.39998724828224e-21	Artery_Tibial	0.475262517589748	Minor_Salivary_Gland	20.3045710258187	1.47941391581883e-15	2.83186590601484	-3.9187753200531	9.4226131439209	3.24323286386451	3.29947842958378	4	0	5.344e-14
NG2018-eBMD	ENSG00000176842.14	IRX5	3.56504209845075e-18	26	2	1.13531807349262e-18	Esophagus_Gastroesophageal_Junction	0.201031254871187	Muscle_Skeletal	16.0572265316674	3.88686519303081e-16	9.9427734683326	-8.82091141700074	8.12162017822266	-3.09957656343179	6.30522687826161	2	0	1.393e-13
NG2018-eBMD	ENSG00000204644.9	ZFP57	5.71840768170482e-18	40	3	3.8000109200608e-22	Cells_EBV-transformed_lymphocytes	0.407843429155089	Brain_Cortex	35.2200968402244	1.62514118732386e-15	1.18838036547472	-9.15035540899009	9.67636108398438	7.08236338986606	4.64346125839066	3	0	2.234e-13
NG2018-eBMD	ENSG00000189298.13	ZKSCAN3	6.67629420688704e-18	49	6	2.2754090898658e-13	Minor_Salivary_Gland	0.431946037826252	Kidney_Cortex	29.723272788868	2.91579272398165e-15	1.28530202054106	-7.33152939007108	7.05396301141661	-1.61873926503416	2.94247500252329	6	0	2.608e-13
NG2018-eBMD	ENSG00000122691.12	TWIST1	1.2306176270842e-17	8	7	1.45483063264122e-12	Artery_Tibial	0.356201323927966	Brain_Hippocampus	2.28283163897964	7.47811226636809e-17	0.12219957817788	-1.17498683929443	7.07872852440599	1.9484213515672	2.93713782437867	7	0	4.808e-13
NG2018-eBMD	ENSG00000126778.8	SIX1	2.84502510877403e-17	39	1	2.79999128413229e-17	Adipose_Visceral_Omentum	0.863756085232485	Artery_Tibial	38.0066097771624	7.46715949639855e-16	38.0066097771624	-8.45461940765381	8.45461940765381	7.80866393561532	2.98354157856378	1	0	1.111e-12
NG2018-eBMD	ENSG00000174282.11	ZBTB4	5.87310246982455e-17	49	3	5.40440407283023e-19	Skin_Sun_Exposed_Lower_leg	0.842739904871314	Thyroid	30.3391924015	4.98528643744858e-16	4.48271733148162	-8.90364101222784	2.40891551971436	-6.17733591903796	2.5967520051989	3	0	2.295e-12
NG2018-eBMD	ENSG00000082641.15	NFE2L1	9.75492745512674e-17	29	6	2.79657197941764e-17	Esophagus_Mucosa	0.910000000601017	Nerve_Tibial	14.2262873900539	3.6315161253113e-16	0.564488859672992	-8.45476199212966	7.6714973449707	0.263769832666933	4.45947127699538	6	0	3.811e-12
NG2018-eBMD	ENSG00000012048.20	BRCA1	1.96174821842325e-16	24	2	1.78900953760482e-13	Brain_Cerebellum	0.000210000078649581	Esophagus_Mucosa	22.1502328413387	1.38788754639409e-17	1.17870283482893	-6.1878252029419	7.36368546065273	2.38683787368097	4.40400070784747	2	0	7.664e-12
NG2018-eBMD	ENSG00000101412.12	E2F1	2.13445844453097e-16	45	4	2.59915563625162e-18	Brain_Cortex	0.410000013453806	Artery_Coronary	24.7714835191641	5.53123228448274e-16	3.46692182155317	-8.72769495573765	8.35983354200805	-1.89663220904179	4.12676269596439	4	0	8.339e-12
NG2018-eBMD	ENSG00000121075.9	TBX4	3.14006610917717e-16	3	3	3.70000054917507e-10	Adipose_Visceral_Omentum	0.0269999998869183	Skin_Not_Sun_Exposed_Suprapubic	1.20495584693722	0.781069418174643	0.781069418174643	-5.46542692184448	6.26618528366089	-0.470253149668375	6.0565405307177	3	0	1.227e-11
NG2018-eBMD	ENSG00000108001.13	EBF3	3.14852521561041e-16	30	6	7.99836023420481e-12	Brain_Cerebellum	0.370000008467643	Artery_Coronary	17.0986862601191	7.45145273436864e-16	0.822135812004665	-4.00093394866316	6.83857712131945	2.21459796226476	2.34922828946771	6	0	1.23e-11
NG2018-eBMD	ENSG00000075426.11	FOSL2	1.12355411895505e-15	20	7	1.19999822665112e-16	Kidney_Cortex	0.939999999276279	Adipose_Visceral_Omentum	8.53355466626854	9.530167387762e-18	0.775909754200053	-8.28310966491699	2.22621178627014	-1.18122500777245	2.18883185461732	7	0	4.39e-11
NG2018-eBMD	ENSG00000067082.14	KLF6	1.5007521175486e-15	20	6	2.55553617158794e-13	Nerve_Tibial	1	Lung	8.53061092033996	3.48284070714499e-18	0.907412175875874	-2.4837691783905	7.31595693478617	2.07693417509231	3.25297474024649	6	0	5.863e-11
NG2018-eBMD	ENSG00000170345.9	FOS	1.53999186471689e-15	45	7	7.47434616638197e-12	Small_Intestine_Terminal_Ileum	0.708840796374871	Artery_Tibial	25.7274442121079	8.12585903545988e-16	0.930957225230705	-4.06515789031983	6.84827943424804	-0.599650313252698	1.87293145021706	7	0	6.016e-11
NG2018-eBMD	ENSG00000069011.15	PITX1	1.78109834156844e-15	45	5	6.94340536276874e-16	Brain_Substantia_nigra	0.743300729416289	Skin_Sun_Exposed_Lower_leg	24.3721493814839	7.65918819831473e-16	0.886596522367208	-8.07150996598437	8.00445175170899	-1.30365075090251	4.54391282937144	5	0	6.958e-11
NG2018-eBMD	ENSG00000141568.20	FOXK2	2.07091988574957e-15	37	10	2.36384721639106e-10	Esophagus_Mucosa	0.938730220328538	Ovary	13.864875050883	6.06730501811638e-16	0.506600448011518	-6.33562262529267	5.87178375542453	0.589198919648494	2.81731122457784	10	0	8.091e-11
NG2018-eBMD	ENSG00000061455.10	PRDM6	5.89791996504556e-15	44	9	7.67548069822588e-12	Esophagus_Muscularis	0.991285702166215	Testis	15.35881877577	6.08440502966037e-16	0.831702450382202	-6.84447879185218	4.47837248667974	0.388280478416021	2.88686252312986	9	0	2.304e-10
NG2018-eBMD	ENSG00000132170.19	PPARG	7.46838176629605e-15	43	4	2.79999771663706e-06	Ovary	0.789347572155572	Small_Intestine_Terminal_Ileum	30.2238374485436	1.58014771149565e-15	1.08434689343198	-4.68497085571289	2.68041072238671	0.558615334298247	2.69028485298992	4	0	2.918e-10
NG2018-eBMD	ENSG00000123268.8	ATF1	8.07215911538192e-15	47	3	9.50043678303293e-17	Colon_Transverse	0.770298560414431	Cells_Cultured_fibroblasts	31.025396744527	7.03441038196418e-16	2.33910573132459	-8.31086823905563	8.11119358662507	-4.82061903154922	4.77201936595401	3	0	3.154e-10
NG2018-eBMD	ENSG00000179111.8	HES7	8.97650930601244e-15	42	6	3.60001167918406e-17	Brain_Anterior_cingulate_cortex_BA24	0.999217867040133	Cells_Cultured_fibroblasts	21.4380761922838	3.06352261021804e-16	0.793073594037709	-1.72447121143341	8.42524337768555	1.32368048090574	1.57182453405054	6	0	3.507e-10
NG2018-eBMD	ENSG00000188786.9	MTF1	9.15289401153871e-15	43	4	3.12749533363306e-18	Cells_Cultured_fibroblasts	0.939999999276279	Brain_Nucleus_accumbens_basal_ganglia	21.5830914655653	1.59498151148104e-15	2.44449229167659	-0.0752698630094528	8.70673631074166	3.74793385222172	3.33068185884547	4	0	3.576e-10
NG2018-eBMD	ENSG00000100968.13	NFATC4	9.34722841657422e-15	42	6	1.67796886610528e-19	Cells_Cultured_fibroblasts	0.702198143344301	Adipose_Visceral_Omentum	21.0529258518477	4.86168162891116e-16	1.15389707679629	-1.42265733314608	9.032498000372	3.53115529667031	3.0030250153929	6	0	3.652e-10
NG2018-eBMD	ENSG00000173068.17	BNC2	5.1950488958883e-14	39	8	6.2017850230025e-12	Muscle_Skeletal	0.929999997387962	Brain_Frontal_Cortex_BA9	21.0063213565167	2.9357828519683e-16	0.878704134055363	-6.87493564454601	6.68558740615845	-1.86266247722454	3.67244528416531	8	0	2.03e-09
NG2018-eBMD	ENSG00000235109.7	ZSCAN31	6.51583515111162e-14	46	3	2.80000034881228e-08	Whole_Blood	0.982860347922957	Ovary	37.6185619628779	1.38393741592092e-15	1.32893277030754	-5.55350351333618	4.70842778014379	2.52552912630877	1.74106901888011	3	0	2.546e-09
NG2018-eBMD	ENSG00000176678.5	FOXL1	1.1188321584882e-13	33	6	4.22154341743528e-15	Adrenal_Gland	0.458769194818522	Brain_Cerebellar_Hemisphere	18.8127229163757	1.82828902917786e-15	0.716494305252521	-3.44079852104187	7.84816922449489	1.74427664141007	3.0169827664958	6	0	4.371e-09
NG2018-eBMD	ENSG00000172059.10	KLF11	1.22043635327295e-13	42	8	2.64995427457814e-16	Brain_Hypothalamus	0.976739396544753	Skin_Sun_Exposed_Lower_leg	13.3339425510559	9.46874097790939e-16	0.694993703356588	-8.18827561276608	7.92951679229736	-1.43223886268415	3.87545294308418	8	0	4.768e-09
NG2018-eBMD	ENSG00000180806.4	HOXC9	1.74075757102834e-13	17	3	1.99999546438869e-17	Nerve_Tibial	0.0719999914023512	Kidney_Cortex	14.7364083362739	3.9142648447603e-17	0.827757359309664	-8.49379348754883	-1.79911816120148	-7.00432366705584	1.88667024944853	3	0	6.801e-09
NG2018-eBMD	ENSG00000135111.15	TBX3	1.91311186661892e-13	10	7	8.20002830689252e-16	Skin_Sun_Exposed_Lower_leg	0.99000000030512	Pancreas	3.23931931488518	6.9636193072447e-17	0.149294658063289	-8.05117893218994	3.00129294395447	-1.91818230471685	3.80684401464124	7	0	7.474e-09
NG2018-eBMD	ENSG00000090447.11	TFAP4	2.12508908815394e-13	14	4	2.30000192419996e-11	Brain_Nucleus_accumbens_basal_ganglia	0.300000023490669	Adrenal_Gland	9.91506925155458	1.00195696529458e-17	0.344382617106597	-6.68558740615845	6.68558740615845	3.46678774543156	5.31933796824407	4	0	8.302e-09
NG2018-eBMD	ENSG00000131196.17	NFATC1	3.8018813166002e-13	29	7	1.40842274883714e-16	Brain_Cortex	0.609999981770324	Adrenal_Gland	14.0494195970934	4.618192409537e-16	0.733995803685128	-8.26402400271182	7.90404272079468	-0.0857467949232564	5.18442381799301	7	0	1.485e-08
